"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",3.15634099332322e-205,1.39269052767134,0.872,0.311,4.77017814320938e-201,"0","EPYC"
"2",5.1532956250831e-270,1.16949884914428,0.999,0.967,7.78817567818809e-266,"0","COL2A1"
"3",6.7047661400022e-156,1.09590917365987,0.908,0.571,1.01329130673853e-151,"0","COL11A1"
"4",7.02875997750634e-163,1.09279805789179,0.85,0.36,1.06225649540053e-158,"0","COL11A2"
"5",3.74282977747179e-139,1.08216156401575,0.872,0.428,5.65653864269312e-135,"0","COL9A1"
"6",1.04866210524897e-169,1.06287382494621,0.754,0.234,1.58484303966277e-165,"0","ACAN"
"7",3.54699490591779e-103,0.859117007522892,0.753,0.376,5.36057340131355e-99,"0","PEG10"
"8",1.5593904326358e-119,0.814893148636594,0.938,0.664,2.35670676084248e-115,"0","COL9A2"
"9",6.65671113696024e-99,0.794480845199289,0.76,0.409,1.0060287541288e-94,"0","CNMD"
"10",2.49253031783275e-102,0.7734917976072,0.958,0.758,3.76696106934063e-98,"0","MATN4"
"11",6.11199231335982e-110,0.757665318228524,0.506,0.098,9.23705398318069e-106,"0","HAPLN1"
"12",2.00759032320173e-114,0.748300045954336,0.96,0.788,3.03407125545477e-110,"0","WWP2"
"13",5.92457774994302e-71,0.686863277050273,0.785,0.553,8.95381435348888e-67,"0","MEST"
"14",5.54232143883095e-89,0.674888164147235,0.753,0.4,8.37611039050522e-85,"0","ID4"
"15",1.99692354519944e-85,0.637370908464701,0.646,0.276,3.01795055385992e-81,"0","SORBS2"
"16",3.30962274319393e-61,0.564735623507425,0.833,0.605,5.00183285178899e-57,"0","COL9A3"
"17",9.80405851187604e-56,0.540338213347033,0.798,0.583,1.48168736289983e-51,"0","LDHB"
"18",2.50745826751458e-65,0.525779326194097,0.47,0.164,3.78952167969478e-61,"0","SOX6"
"19",3.14757840625653e-71,0.510280945335501,0.485,0.157,4.75693524537549e-67,"0","EBF1"
"20",1.46486349475426e-63,0.507469080477576,0.951,0.828,2.21384819962211e-59,"0","GPC3"
"21",1.24427784518812e-46,0.470352994488141,0.942,0.857,1.88047710743281e-42,"0","SOX9"
"22",6.26838470706131e-49,0.452476729447558,0.979,0.933,9.47340980778175e-45,"0","MEG3"
"23",8.61065902996504e-53,0.407633495224193,0.415,0.142,1.30132889919862e-48,"0","SORBS1"
"24",4.42639305771196e-47,0.387603445897169,0.998,0.998,6.68960782812008e-43,"0","MT-ND1"
"25",8.01912408483264e-61,0.385205432886302,0.291,0.046,1.21193022294076e-56,"0","PAPSS2"
"26",1.70571202720857e-34,0.368563540243326,0.459,0.239,2.57784258672031e-30,"0","UACA"
"27",4.2742506156402e-48,0.367439660817947,0.999,0.993,6.45967495541703e-44,"0","MT-ND4"
"28",3.13618816701647e-27,0.355823765047755,0.646,0.461,4.73972117681199e-23,"0","HMGA2"
"29",1.27245150519761e-19,0.329935074531569,0.604,0.461,1.92305595980515e-15,"0","SERPINH1"
"30",3.34746656891794e-19,0.324161327330383,0.88,0.789,5.05902622560568e-15,"0","KCNQ1OT1"
"31",2.12950185903257e-32,0.321846908579184,0.356,0.155,3.21831615955592e-28,"0","THBS1"
"32",9.7355659540154e-22,0.321704166974118,0.584,0.43,1.47133608263035e-17,"0","SLC38A2"
"33",9.39894308701951e-31,0.321187063870259,0.993,0.963,1.42046226874126e-26,"0","MT-CO3"
"34",3.77812774106479e-22,0.313090422631859,0.581,0.417,5.70988445507122e-18,"0","CALU"
"35",1.31348304375996e-33,0.310411583278257,0.997,0.987,1.98506692403443e-29,"0","MT-ND3"
"36",1.82876811294294e-29,0.301284799167874,0.393,0.19,2.76381724909067e-25,"0","MIA"
"37",5.76954547005349e-15,0.293442790321193,0.531,0.396,8.71951406889183e-11,"0","AUXG01000058.1"
"38",4.0932676400109e-20,0.292500441621724,0.606,0.447,6.18615538434848e-16,"0","PMP22"
"39",3.68692948382564e-16,0.281385780626618,0.657,0.531,5.57205652890569e-12,"0","ID1"
"40",6.9926478948933e-20,0.280124286261172,0.959,0.876,1.05679887635522e-15,"0","VIM"
"41",6.96824661913325e-32,0.277565160161318,1,0.998,1.05311111154961e-27,"0","MT-ATP6"
"42",6.16208057416145e-15,0.271432458510299,0.666,0.548,9.3127523717302e-11,"0","AUTS2"
"43",4.46960065259072e-22,0.269397832604461,0.383,0.214,6.75490746626035e-18,"0","ZNF703"
"44",3.97119268085649e-17,0.269239787163086,0.654,0.506,6.00166349857842e-13,"0","CNN3"
"45",2.69648195723691e-24,0.264087343767902,1,1,4.07519318197214e-20,"0","MT-ND2"
